source,query_id,question,pred_linguistic,pred_semantic,pred_modality,pred_contextual,pred_intent,gold_linguistic,gold_semantic,gold_modality,gold_contextual,gold_intent,annotator,notes
DocBench/0,docbench_0_5,On which page does the paper introduce the corpus statistics?,Medium,Low,Low,Low,factual_lookup,,,,,,,
DocBench/10,docbench_10_3,What is the total number of sentences in the training sets for Romance languages as given in Table 1?,Medium,Medium,Medium,Low,visual_tabular,,,,,,,
RobotManuals/SICK,robot_SICK_1,What four collaborative operating modes does ISO/TS 15066 define for collaborative robots?,Medium,Medium,Low,Low,factual_lookup,,,,,,,
DocBench/118,docbench_118_0,What institution or agency released the report?,Low,Low,Low,Medium,factual_lookup,,,,,,,
RobotManuals/SICK,robot_SICK_2,"Which two ISO standards does the white paper identify as the foundation for industrial robot safety, which ISO/TS 15066 then supplements for collaborative applications?",High,High,Low,Medium,factual_lookup,,,,,,,
RobotManuals/Roomba,robot_Roomba_1,"Per the Roomba s9 guide's maintenance table, how often should the Filter be cleaned, and how often should it be replaced?",High,Medium,Medium,Medium,multi_hop,,,,,,,
RobotManuals/SICK,robot_SICK_3,"According to the white paper, what two categories of measures are used to reduce risk in collaborative robot applications?",High,Low,Low,Medium,factual_lookup,,,,,,,
DocBench/0,docbench_0_4,Who is the last author of the paper?,Low,Low,Low,Low,relationship,,,,,,,
DocBench/108,docbench_108_0,When was the document revised?,Low,Low,Low,Low,temporal,,,,,,,
RobotManuals/Husqvarna,robot_Husqvarna_0,"According to the Husqvarna Automower manual, what is the minimum age at which a child may be permitted to use the appliance, and under what condition?",High,Medium,Low,Medium,factual_lookup,,,,,,,
DocBench/109,docbench_109_1,Which institutions or agencies release the document?,Low,Low,Low,Medium,factual_lookup,,,,,,,
DocBench/103,docbench_103_2,Was the United States' Motion to use Photographs in Opening Statement granted?,Medium,Medium,Medium,Medium,visual_tabular,,,,,,,
RobotManuals/Husqvarna,robot_Husqvarna_2,What does the Husqvarna manual warn about connecting the power supply when the plug or cord is damaged?,Medium,Medium,Low,Low,temporal,,,,,,,
DocBench/1,docbench_1_1,How many categories of aggression were participants asked to classify texts into?,Medium,Low,Low,Low,factual_lookup,,,,,,,
DocBench/104,docbench_104_1,What is the purpose of Bureau Objective 1.2?,Low,Low,Low,Low,factual_lookup,,,,,,,
RobotManuals/KUKA,robot_KUKA_3,Who does the KUKA manual define as a 'system integrator' in the context of the LBR Med?,Medium,Low,Low,Low,factual_lookup,,,,,,,
DocBench/110,docbench_110_3,Can you describe the trend in funding allocation for Humanitarian Assistance from the 2020 Estimate to the Grand Total for the same year?,High,Medium,Low,Medium,temporal,,,,,,,
DocBench/0,docbench_0_3,Which language model has the lowest Perplexity (PPL) according to Table 3?,Medium,Low,Medium,Medium,visual_tabular,,,,,,,
RobotManuals/SICK,robot_SICK_0,"According to the SICK white paper, what is the difference between a 'cooperative' and a 'collaborative' human-robot application?",High,Medium,Low,Medium,comparative,,,,,,,
DocBench/11,docbench_11_2,Which model has the highest F1 score for entity recognition on the Test set?,Medium,Low,Low,Medium,factual_lookup,,,,,,,
DocBench/114,docbench_114_1,How does the U.S. Department of State support its diplomatic efforts in cities with multiple international organizations?,Medium,Low,Low,Medium,causal,,,,,,,
DocBench/110,docbench_110_0,Which Lebanese law enforcement organization worked with external forces to enhance their counterterrorism capabilities?,Medium,Low,Low,Medium,factual_lookup,,,,,,,
DocBench/102,docbench_102_3,What is the top 3 most frequent words mentioned in the report?,Medium,Low,Low,Medium,factual_lookup,,,,,,,
DocBench/10,docbench_10_2,Which dataset experienced the largest decrease in BLEU score after alignment according to Table 4?,Medium,Medium,Medium,Low,visual_tabular,,,,,,,
DocBench/11,docbench_11_3,Which model achieved the highest F1 score in span identification?,Medium,Low,Low,Low,factual_lookup,,,,,,,
DocBench/114,docbench_114_2,On which page does the report present the chart of U.S. Department of State Organization?,Medium,Low,Medium,Low,visual_tabular,,,,,,,
DocBench/105,docbench_105_1,What does the CA acronym stand for in the context of the document?,Medium,Low,Low,Low,factual_lookup,,,,,,,
DocBench/104,docbench_104_0,How does Bureau Objective 2.1 support the JSP Goals overall?,Medium,Medium,Low,Low,causal,,,,,,,
DocBench/114,docbench_114_3,How many tables and figures are there in total in the document?,Medium,Medium,Medium,Low,visual_tabular,,,,,,,
DocBench/101,docbench_101_2,What is the goal that the Bureau Objective 1.1 supports regarding global conservation?,Medium,Low,Low,Medium,factual_lookup,,,,,,,
RobotManuals/KUKA,robot_KUKA_0,"According to the KUKA Sunrise Cabinet Med manual, which manipulator currently supports Stop category 1, and what stop category is executed for other manipulators?",High,Medium,Low,Low,factual_lookup,,,,,,,
DocBench/100,docbench_100_0,What is the purpose of applying data and analytics as per the Department's goals?,Medium,Medium,Low,Low,factual_lookup,,,,,,,
DocBench/110,docbench_110_2,How many chapters are there in total in the document?,Medium,Low,Low,Low,factual_lookup,,,,,,,
DocBench/11,docbench_11_0,What is the original figure number associated with the automatically generated knowledge graph?,Medium,Low,Medium,Medium,visual_tabular,,,,,,,
DocBench/117,docbench_117_1,When was the document approved?,Low,Low,Low,Low,temporal,,,,,,,
DocBench/118,docbench_118_2,What are the names of authors that wrote this document?,Medium,Low,Low,Medium,factual_lookup,,,,,,,
DocBench/101,docbench_101_0,Was the document approved before it was revised?,Low,Low,Low,Medium,temporal,,,,,,,
RobotManuals/Spot,robot_Spot_0,What is Spot's 'smart freeze' behavior?,Low,Low,Low,Low,factual_lookup,,,,,,,
DocBench/0,docbench_0_6,How many time does the paper mention WikiText-2?,Low,Low,Low,Medium,factual_lookup,,,,,,,
DocBench/109,docbench_109_0,When was the document approved?,Low,Low,Low,Low,temporal,,,,,,,
RobotManuals/Spot,robot_Spot_1,"What stop category and standard does Spot's safety-related stop correspond to, and what is its maximum response time?",High,High,Low,Medium,factual_lookup,,,,,,,
