System,Complexity,NDCG@10,Recall@10,Query,Answer
vector_only,Complex,1.0,1.0,What is the primary challenge addressed by the int...,
fixed_rrf,Complex,1.0,1.0,What is the primary challenge addressed by the int...,
adaptive_fixed,Complex,1.0,1.0,What is the primary challenge addressed by the int...,
qalf,Complex,1.0,1.0,What is the primary challenge addressed by the int...,"According to the context, the primary challenge addressed by the introduction of the Linked WikiText-2 dataset is the difference in text across articles due to edits between download dates, and the lack of useful annotation information in the original WikiText-2 dataset.

[Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 32, Page 1]

Specifically, it is mentioned that ""Although our dataset is designed to closely replicate WikiText-2, there are some differences that prevent direct comparison. Firstly, there are minor variations in text across articles due to edits between download dates."" [Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 32, Page 1]

Additionally, it is stated that WikiText-2 was collected by querying the Wikipedia Text API, which discards useful annotation information, whereas Linked WikiText-2 was created directly from the article HTML. [Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 32, Page 1]

Therefore, the primary challenge addressed by the introduction of the Linked WikiText-2 dataset is the need to address these differences and provide a more accurate and comprehensive dataset for research purposes."
qalf_learned_routing,Complex,1.0,1.0,What is the primary challenge addressed by the int...,"According to the provided context, the primary challenge addressed by the introduction of the Linked WikiText-2 dataset is the difference in text across articles due to edits between download dates, and the lack of useful annotation information in the original WikiText-2 dataset.

[Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 32, Page 1]

Specifically, it is mentioned that WikiText-2 was collected by querying the Wikipedia Text API, which discards useful annotation information (e.g. article links). Linked WikiText-2, on the other hand, was created directly from the article HTML, addressing this issue.

[Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 32, Page 1]

Additionally, there are minor variations in text across articles due to edits between download dates, which prevents direct comparison with WikiText-2.

[Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 32, Page 1]

Therefore, the primary challenge addressed by the introduction of the Linked WikiText-2 dataset is the need to address these differences and create a more accurate and comprehensive dataset."
vector_only,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...,
fixed_rrf,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...,
adaptive_fixed,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...,
qalf,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...,"Unfortunately, the provided context does not mention the top-1 accuracy of the Oracle KGLM on birthdate prediction. However, it does mention that the KGLM with automatic linking performs comparably to oracle linking [Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 46, Page 1]. This implies that the Oracle KGLM has a high accuracy on birthdate prediction, but the exact value is not provided.

It is worth noting that the context does provide an example of the KGLM's ability to change its prediction based on modifications to the knowledge graph, specifically for the birthdate of Barack Obama [Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 48, Page 1]. However, this example is not directly related to the top-1 accuracy of the Oracle KGLM on birthdate prediction."
qalf_learned_routing,Simple,1.0,1.0,What is the top-1 accuracy of the Oracle KGLM on b...,"Unfortunately, the context does not provide explicit information about the top-1 accuracy of the Oracle KGLM on birthdate prediction. However, it does mention that KGLMs are competitive with models trained on orders of magnitude more data, producing factual completions that require specific knowledge, such as birthplaces, dates, and authors. [Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 46, Page 1]

The context also provides an example of how changing the birth date in the knowledge graph directly leads to a corresponding change in the model's prediction, but it does not provide explicit accuracy metrics. [Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 48, Page 1]

Therefore, I cannot provide a specific answer to the question."
vector_only,Complex,1.0,1.0,How many documents are there in the training set o...,
fixed_rrf,Complex,1.0,1.0,How many documents are there in the training set o...,
adaptive_fixed,Complex,1.0,1.0,How many documents are there in the training set o...,
qalf,Complex,1.0,1.0,How many documents are there in the training set o...,"Unfortunately, the context does not mention the training set of the Linked WikiText-2 Corpus. However, it does mention that the Linked WikiText-2 dataset consists of approximately the same articles as WikiText-2, but linked to the Wikipedia knowledge graph. [Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 26, Page 1]

The context does not provide information about the number of documents in the training set of the Linked WikiText-2 Corpus."
qalf_learned_routing,Complex,1.0,1.0,How many documents are there in the training set o...,"Unfortunately, the context does not provide information about the Linked WikiText-2 Corpus's training set. The context mentions the dataset's availability for download and its characteristics, but it does not specify the number of documents in the training set.

However, the context does mention that the dataset is a subset of the WikiText-2 corpus, which has approximately the same articles as WikiText-2. Since the context does not provide the exact number of documents in the Linked WikiText-2 Corpus, I cannot provide a specific answer.

If you need information about the WikiText-2 corpus, the context mentions that it has approximately the same articles as WikiText-2, but it does not provide the exact number of documents.

Please note that the context does not provide enough information to answer the question accurately."
vector_only,Complex,1.0,1.0,Which language model has the lowest Perplexity (PP...,
fixed_rrf,Complex,0.6309297535714575,1.0,Which language model has the lowest Perplexity (PP...,
adaptive_fixed,Complex,0.6309297535714575,1.0,Which language model has the lowest Perplexity (PP...,
qalf,Complex,0.6309297535714575,1.0,Which language model has the lowest Perplexity (PP...,"According to Table 3, the KGLM (Knowledge Graph Language Model) has a perplexity of 44.1, which is substantially lower than the other entity-based language models, including ENTITYNLM (76.1) and EntityCopyNet (85.4).

[Source: data/raw/DocBench\0\P19-1598.pdf, Chunk 44, Page 1]

Therefore, the language model with the lowest perplexity according to Table 3 is the KGLM."
