source,query_id,question,pred_linguistic,pred_semantic,pred_modality,pred_contextual,pred_intent,gold_linguistic,gold_semantic,gold_modality,gold_contextual,gold_intent,annotator,notes
DocBench/0,docbench_0_0,What is the primary challenge addressed by the introduction of the Linked WikiText-2 dataset?,Medium,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/0,docbench_0_1,What is the top-1 accuracy of the Oracle KGLM on birthdate prediction?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/0,docbench_0_2,How many documents are there in the training set of the Linked WikiText-2 Corpus?,Medium,Low,Low,Medium,factual_lookup,Low,Low,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/0,docbench_0_3,Which language model has the lowest Perplexity (PPL) according to Table 3?,Medium,Low,Medium,Medium,visual_tabular,Low,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",
DocBench/0,docbench_0_4,Who is the last author of the paper?,Low,Low,Low,Low,relationship,Low,Low,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",
DocBench/0,docbench_0_5,On which page does the paper introduce the corpus statistics?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/0,docbench_0_6,How many time does the paper mention WikiText-2?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/100,docbench_100_0,What is the purpose of applying data and analytics as per the Department's goals?,Medium,Medium,Low,Low,factual_lookup,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",'purpose' framed as causal/definitional
DocBench/100,docbench_100_1,On which page mentions the guiding principles?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/100,docbench_100_2,How many pages does the report consist of?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
