System,Complexity,NDCG@10,Recall@10,Query,Answer
vector_only,Complex,1.0,1.0,"According to the KUKA Sunrise Cabinet Med manual, ...",
fixed_rrf,Complex,1.0,1.0,"According to the KUKA Sunrise Cabinet Med manual, ...",
adaptive_fixed,Complex,1.0,1.0,"According to the KUKA Sunrise Cabinet Med manual, ...",
qalf,Complex,1.0,1.0,"According to the KUKA Sunrise Cabinet Med manual, ...","I can't answer that question as it appears to be unrelated to the provided context. The context includes documents about text classification, entity linking, and machine learning, but does not mention the KUKA Sunrise Cabinet Med manual or any manipulators. If you'd like to ask a question based on the provided context, I'd be happy to help."
qalf_learned_routing,Complex,1.0,1.0,"According to the KUKA Sunrise Cabinet Med manual, ...","I don't have enough information to answer the question. The provided context does not mention the KUKA Sunrise Cabinet Med manual or any information about manipulators and stop categories. The context appears to be related to natural language processing and text classification, but it does not contain any relevant information about the KUKA Sunrise Cabinet Med manual."
vector_only,Simple,0.6309297535714575,1.0,What happens during a Stop category 0 according to...,
fixed_rrf,Simple,1.0,1.0,What happens during a Stop category 0 according to...,
adaptive_fixed,Simple,0.6309297535714575,1.0,What happens during a Stop category 0 according to...,
qalf,Simple,0.6309297535714575,1.0,What happens during a Stop category 0 according to...,"There is no mention of the KUKA manual or a Stop category 0 in the provided context. The context appears to be related to natural language processing and machine learning models, specifically the KGLM (Knowledge Graph Language Model) and other systems."
qalf_learned_routing,Simple,1.0,1.0,What happens during a Stop category 0 according to...,"There is no mention of the KUKA manual or a Stop category 0 in the provided context. The context appears to be related to natural language processing and machine learning models, specifically the KGLM and NKLM models, as well as various classification systems and their preprocessing techniques."
vector_only,Complex,1.0,1.0,In Stop category 1 (path-maintaining) triggered by...,
fixed_rrf,Complex,1.0,1.0,In Stop category 1 (path-maintaining) triggered by...,
adaptive_fixed,Complex,1.0,1.0,In Stop category 1 (path-maintaining) triggered by...,
qalf,Complex,1.0,1.0,In Stop category 1 (path-maintaining) triggered by...,"I don't see any information about the Stop category 1 or the safety controller in the provided context. The context appears to be about a knowledge graph-based language model (KGLM) and its process for generating entity tokens. There is no mention of brakes, drives, or a safety controller.

Since the context doesn't contain enough information to answer the question, I'm unable to provide a detailed answer."
qalf_learned_routing,Complex,1.0,1.0,In Stop category 1 (path-maintaining) triggered by...,"There is no information provided in the context about the Stop category 1 (path-maintaining) triggered by the safety controller, or the requirement for brakes to be applied and drives to be switched off. The context appears to be about a knowledge graph-based language model (KGLM) and its process for generating entity tokens, but it does not mention any safety controller or vehicle-related tasks.

Therefore, I must say that the context does not contain enough information to answer the question."
vector_only,Simple,1.0,1.0,Who does the KUKA manual define as a 'system integ...,
fixed_rrf,Simple,1.0,1.0,Who does the KUKA manual define as a 'system integ...,
adaptive_fixed,Simple,1.0,1.0,Who does the KUKA manual define as a 'system integ...,
qalf,Simple,1.0,1.0,Who does the KUKA manual define as a 'system integ...,"There is no mention of the KUKA manual or the LBR Med in the provided context. The context appears to be about various natural language processing models and their characteristics, such as the NKLM, KGLM, and bidirectional LSTM. Therefore, I am unable to provide a detailed answer to the question."
qalf_learned_routing,Simple,1.0,1.0,Who does the KUKA manual define as a 'system integ...,"The context does not mention the KUKA manual or the LBR Med. The provided context appears to be about various systems and models, including NKLM, KGLM, and bhanodaig, but does not contain information about the KUKA manual or the LBR Med.

Since the context does not contain enough information to answer the question, I must say so."
vector_only,Complex,1.0,1.0,How far away from stairs should the Roomba s9's Ho...,
fixed_rrf,Complex,1.0,1.0,How far away from stairs should the Roomba s9's Ho...,
adaptive_fixed,Complex,1.0,1.0,How far away from stairs should the Roomba s9's Ho...,
qalf,Complex,1.0,1.0,How far away from stairs should the Roomba s9's Ho...,"I don't have enough information in the provided context to answer the question about the Roomba s9's Home Base charging station placement. The context appears to be related to academic papers and their sections, but it does not mention the Roomba s9 or its owner's guide."
