source,query_id,question,pred_linguistic,pred_semantic,pred_modality,pred_contextual,pred_intent,gold_linguistic,gold_semantic,gold_modality,gold_contextual,gold_intent,annotator,notes
DocBench/0,docbench_0_5,On which page does the paper introduce the corpus statistics?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Low,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/10,docbench_10_3,What is the total number of sentences in the training sets for Romance languages as given in Table 1?,Medium,Medium,Medium,Low,visual_tabular,Medium,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",explicit Table 1
RobotManuals/SICK,robot_SICK_1,What four collaborative operating modes does ISO/TS 15066 define for collaborative robots?,Medium,Medium,Low,Low,factual_lookup,Medium,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",enumerates 4 distinct modes
DocBench/118,docbench_118_0,What institution or agency released the report?,Low,Low,Low,Medium,factual_lookup,Low,Low,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",asks who released the report
RobotManuals/SICK,robot_SICK_2,"Which two ISO standards does the white paper identify as the foundation for industrial robot safety, which ISO/TS 15066 then supplements for collaborative applications?",High,High,Low,Medium,factual_lookup,High,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",2 standards + supplementary relation
RobotManuals/Roomba,robot_Roomba_1,"Per the Roomba s9 guide's maintenance table, how often should the Filter be cleaned, and how often should it be replaced?",High,Medium,Medium,Medium,multi_hop,High,High,High,Medium,multi_hop,"AI-inferred (Claude, not human-verified)",explicit maintenance table
RobotManuals/SICK,robot_SICK_3,"According to the white paper, what two categories of measures are used to reduce risk in collaborative robot applications?",High,Low,Low,Medium,factual_lookup,High,High,Low,High,multi_hop,"AI-inferred (Claude, not human-verified)",enumerates 2 categories
DocBench/0,docbench_0_4,Who is the last author of the paper?,Low,Low,Low,Low,relationship,Low,Low,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",
DocBench/108,docbench_108_0,When was the document revised?,Low,Low,Low,Low,temporal,Low,Low,Low,Low,temporal,"AI-inferred (Claude, not human-verified)",
RobotManuals/Husqvarna,robot_Husqvarna_0,"According to the Husqvarna Automower manual, what is the minimum age at which a child may be permitted to use the appliance, and under what condition?",High,Medium,Low,Medium,factual_lookup,High,High,Low,Medium,multi_hop,"AI-inferred (Claude, not human-verified)",2-part: minimum age + condition
DocBench/109,docbench_109_1,Which institutions or agencies release the document?,Low,Low,Low,Medium,factual_lookup,Medium,Medium,Low,Low,relationship,"AI-inferred (Claude, not human-verified)",asks who released/published
DocBench/103,docbench_103_2,Was the United States' Motion to use Photographs in Opening Statement granted?,Medium,Medium,Medium,Medium,visual_tabular,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)","'Photographs' is a trial-evidence topic, not a table/figure in this doc"
RobotManuals/Husqvarna,robot_Husqvarna_2,What does the Husqvarna manual warn about connecting the power supply when the plug or cord is damaged?,Medium,Medium,Low,Low,temporal,Medium,Medium,Low,Medium,causal,"AI-inferred (Claude, not human-verified)","conditional 'when damaged, what to warn'"
DocBench/1,docbench_1_1,How many categories of aggression were participants asked to classify texts into?,Medium,Low,Low,Low,factual_lookup,Medium,Medium,Low,Medium,factual_lookup,"AI-inferred (Claude, not human-verified)",
DocBench/104,docbench_104_1,What is the purpose of Bureau Objective 1.2?,Low,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",'purpose' framed as causal/definitional
RobotManuals/KUKA,robot_KUKA_3,Who does the KUKA manual define as a 'system integrator' in the context of the LBR Med?,Medium,Low,Low,Low,factual_lookup,Low,Low,Low,Medium,definitional,"AI-inferred (Claude, not human-verified)",asks what a term is defined as
DocBench/110,docbench_110_3,Can you describe the trend in funding allocation for Humanitarian Assistance from the 2020 Estimate to the Grand Total for the same year?,High,Medium,Low,Medium,temporal,High,High,Medium,Medium,comparative,"AI-inferred (Claude, not human-verified)",'describe the trend' = compare values
DocBench/0,docbench_0_3,Which language model has the lowest Perplexity (PPL) according to Table 3?,Medium,Low,Medium,Medium,visual_tabular,Low,Medium,High,Medium,visual_tabular,"AI-inferred (Claude, not human-verified)",
RobotManuals/SICK,robot_SICK_0,"According to the SICK white paper, what is the difference between a 'cooperative' and a 'collaborative' human-robot application?",High,Medium,Low,Medium,comparative,High,High,Low,High,comparative,"AI-inferred (Claude, not human-verified)",explicit 'difference between X and Y'
DocBench/11,docbench_11_2,Which model has the highest F1 score for entity recognition on the Test set?,Medium,Low,Low,Medium,factual_lookup,Medium,Medium,Medium,Medium,comparative,"AI-inferred (Claude, not human-verified)",'highest' implies comparison across models
DocBench/114,docbench_114_1,How does the U.S. Department of State support its diplomatic efforts in cities with multiple international organizations?,Medium,Low,Low,Medium,causal,High,High,Low,Medium,causal,"AI-inferred (Claude, not human-verified)",
